Indicator_type,Data,Note
file_path_name,C:\windows\cert.exe,Copied CERTUTIL
file_path_name,C:\windows\msmpeng.exe,Outdated Defender executable vulnerable to DLL sideload
sha256,33bc14d231a4afaa18f06513766d5f69d8b88f1e697cd127d24fb4b72ad44c7a,Outdated Defender executable vulnerable to DLL sideload
file_path_name,C:\kworking\agent.crt,
sha256,d55f983c994caa160ec63a59f6b4250fe67fb3e8c43a388aec60a4a6978e9f1,
file_path_name,C:\windows\mpsvc.dll,
sha256,8dd620d9aeb35960bb766458c8890ede987c33d239cf730f93fe49d90ae759dd,
domain,ncuccr.org,
domain,1team.es,
domain,4net.guru,
domain,35-40konkatsu.net,
domain,123vrachi.ru,
domain,4youbeautysalon.com,
